name,city,state,country,lat,lon,type,times_played,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29
WRUV Radio,Burlington,VT,USA,44.4723989,-73.2114941,city,1,9/26/85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Stage,Cambridge,MA,USA,42.3750997,-71.1056157,suburb,1,4/30/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tweeter Center at the Waterfront,Camden,NJ,USA,39.8014709,-74.968553,county,3,6/10/11,6/25/10,6/24/10,6/7/09,8/12/04,7/31/03,7/30/03,7/4/00,7/3/00,7/10/99,,,,,,,,,,,,,,,,,,,
CMAC Performing Arts Center,Canandaigua,NY,USA,42.866687,-77.243569,city,2,6/29/10,7/15/14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finger Lakes Performing Arts Center,Canandaigua,NY,USA,42.866687,-77.243569,city,3,6/22/95,7/14/94,7/28/92,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lawrence University,Canton,NY,USA,44.59135,-75.16097,residential,3,5/12/92,2/20/88,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huden Dining Hall, Castleton State ...",Castleton,VT,USA,43.6106224,-73.179832,village,1,12/9/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Seasons Arena,Cedar Rapids,IA,USA,41.9758872,-91.6704053,city,1,10/20/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mabel's,Champaign,IL,USA,40.0960397,-88.30474298,city,1,10/3/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton Terrace Amphitheater,Chandler,AZ,USA,33.3062563,-111.8412458,city,1,10/11/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat's Cradle,Chapel Hill,NC,USA,35.9131996,-79.0558445,administrative,6,1/28/98,11/14/91,7/25/91,2/22/91,10/12/90,6/5/90,2/7/90,,,,,,,,,,,,,,,,,,,,,,
"Memorial Hall, University of North ...",Chapel Hill,NC,USA,35.9131996,-79.0558445,administrative,1,2/15/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultural Center Auditorium,Charleston,WV,USA,38.3498221,-81.6326301,city,1,12/8/02,3/22/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galliard Auditorium,Charleston,SC,USA,32.7876012,-79.9402728,city,1,10/28/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music Farm,Charleston,SC,USA,32.7876012,-79.9402728,city,1,8/8/08,11/6/01,11/10/91,,,,,,,,,,,,,,,,,,,,,,,,,,
Myskyn's,Charleston,SC,USA,32.7876012,-79.9402728,city,2,2/5/90,1/31/90,,,,,,,,,,,,,,,,,,,,,,,,,,,
13x13 Club,Charlotte,NC,USA,35.477776,-81.0178937,residential,2,3/27/92,2/23/91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockbuster Pavilion,Charlotte,NC,USA,35.327365,-80.711138,city,1,7/7/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Sands's and Pete Carini's House,Charlotte,VT,USA,44.3097741,-73.2609586,village,1,6/6/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Coliseum,Charlotte,NC,USA,35.2270869,-80.8431268,city,2,10/26/96,11/19/95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grady Cole Center,Charlotte,NC,USA,35.2270869,-80.8431268,city,2,4/24/94,7/28/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC Music Pavilion,Charlotte,NC,USA,35.327365,-80.711138,city,1,7/25/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pterodactyl Club,Charlotte,NC,USA,35.2270869,-80.8431268,city,2,10/17/90,5/30/90,,,,,,,,,,,,,,,,,,,,,,,,,,,
